hotel_id,destination,stars,price_per_night_rub,breakfast_included,free_cancellation,rating,notes
HT-045,IST,4,11260,1,1,8.7,"Семейный номер, центр, тихий район"
HT-052,IST,4,9800,0,1,8.1,"Дешевле, но без завтрака"
HT-101,DXB,4,14030,1,1,8.9,"Рядом с пляжем"
HT-108,DXB,5,17100,1,0,9.0,"Выше класс, но без бесплатной отмены"
HT-205,BKK,4,8460,1,1,8.5,"Удобно для позднего заезда"
HT-214,BKK,5,10950,1,1,8.8,"Дороже, но комфортнее"
HT-301,AYT,4,8315,1,1,8.2,"Подходит для бюджетного пляжного отдыха"
HT-309,AYT,5,11200,1,0,8.6,"Лучше по классу, но дороже"
HT-402,BCN,5,26500,1,1,9.1,"Под требования, но не проходит по бюджету"
HT-410,BCN,4,17300,1,1,8.4,"Компромисс по категории"
HT-510,HKT,4,10340,1,1,8.6,"Нужно проверить размещение ребёнка"
HT-519,HKT,5,12980,1,0,8.9,"Дороже, сложнее по правилам отмены"
